id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
1254,07:53:07 10-25-2021,07:57:07 10-25-2021,Bottle,0.50,14,,4,Liquid,IMPERIAL,Pump
1252,06:04:49 10-25-2021,06:06:12 10-25-2021,Left Breast,,,,1,Breast Milk,,
1251,05:54:44 10-25-2021,06:03:44 10-25-2021,Right Breast,,,,9,Breast Milk,,
1250,00:54:51 10-25-2021,01:13:18 10-25-2021,Left Breast,,,,18,Breast Milk,,
1249,20:50:07 10-24-2021,21:20:24 10-24-2021,Right Breast,,,,30,Breast Milk,,
1248,16:54:47 10-24-2021,17:30:54 10-24-2021,Right Breast,,,,36,Breast Milk,,
1247,13:18:46 10-24-2021,14:31:17 10-24-2021,Bottle,3.00,88,,72,Liquid,IMPERIAL,Pump
1246,12:31:04 10-24-2021,12:35:44 10-24-2021,Right Breast,,,,4,Breast Milk,,
1245,10:01:34 10-24-2021,10:20:09 10-24-2021,Left Breast,,,,18,Breast Milk,,
1244,03:28:34 10-24-2021,03:54:02 10-24-2021,Right Breast,,,,25,Breast Milk,,
1243,00:04:08 10-24-2021,00:27:08 10-24-2021,Left Breast,,,,23,Breast Milk,,
1242,21:10:12 10-23-2021,21:41:39 10-23-2021,Right Breast,,,,31,Breast Milk,,
1241,19:12:27 10-23-2021,19:19:27 10-23-2021,Left Breast,,,,7,Breast Milk,,
1240,18:30:15 10-23-2021,18:50:15 10-23-2021,Right Breast,,,,20,Breast Milk,,
1239,16:28:16 10-23-2021,16:30:23 10-23-2021,Right Breast,,,,2,Breast Milk,,
1238,15:52:00 10-23-2021,16:05:37 10-23-2021,Left Breast,,,,13,Breast Milk,,
1237,14:55:19 10-23-2021,14:56:18 10-23-2021,Bottle,0.00,0,,0,Liquid,IMPERIAL,Pump
1236,14:15:53 10-23-2021,14:22:00 10-23-2021,Bottle,0.00,0,,6,Liquid,IMPERIAL,Pump
1235,13:03:21 10-23-2021,13:20:58 10-23-2021,Bottle,2.25,66,,17,Liquid,IMPERIAL,Pump
1234,12:32:13 10-23-2021,12:45:58 10-23-2021,Bottle,1.00,29,,13,Liquid,IMPERIAL,Pump
1233,10:18:23 10-23-2021,10:23:38 10-23-2021,Right Breast,,,,5,Breast Milk,,
1232,08:40:38 10-23-2021,08:47:38 10-23-2021,Left Breast,,,,7,Breast Milk,,
1231,06:15:36 10-23-2021,06:30:36 10-23-2021,Left Breast,,,,15,Breast Milk,,
1230,04:00:34 10-23-2021,04:15:34 10-23-2021,Right Breast,,,,15,Breast Milk,,
1229,00:00:40 10-23-2021,02:22:42 10-23-2021,Left Breast,,,,142,Breast Milk,,
1228,21:04:24 10-22-2021,21:20:23 10-22-2021,Right Breast,,,,15,Breast Milk,,
1227,18:50:10 10-22-2021,19:06:32 10-22-2021,Left Breast,,,,16,Breast Milk,,
1226,17:53:26 10-22-2021,17:57:26 10-22-2021,Right Breast,,,,4,Breast Milk,,
1225,14:26:16 10-22-2021,14:40:16 10-22-2021,Bottle,2.50,73,,14,Liquid,IMPERIAL,Pump
1224,11:25:04 10-22-2021,11:35:04 10-22-2021,Right Breast,,,,10,Breast Milk,,
1223,09:57:42 10-22-2021,10:05:39 10-22-2021,Left Breast,,,,7,Breast Milk,,
1222,07:47:07 10-22-2021,08:02:56 10-22-2021,Right Breast,,,,15,Breast Milk,,
1221,06:30:53 10-22-2021,06:45:53 10-22-2021,Left Breast,,,,15,Breast Milk,,
1220,03:17:44 10-22-2021,03:30:44 10-22-2021,Right Breast,,,,13,Breast Milk,,
1219,21:27:00 10-21-2021,22:00:27 10-21-2021,Left Breast,,,,33,Breast Milk,,
1218,20:55:46 10-21-2021,21:10:46 10-21-2021,Right Breast,,,,15,Breast Milk,,
1213,18:42:17 10-21-2021,18:55:12 10-21-2021,Right Breast,,,,12,Breast Milk,,
1212,18:20:44 10-21-2021,18:24:17 10-21-2021,Right Breast,,,,3,Breast Milk,,
1211,17:49:02 10-21-2021,18:11:18 10-21-2021,Left Breast,,,,22,Breast Milk,,
1217,16:50:12 10-21-2021,19:52:12 10-21-2021,Bottle,1.00,29,,182,Liquid,IMPERIAL,Pump
1216,14:55:53 10-21-2021,15:25:53 10-21-2021,Bottle,3.00,88,,30,Liquid,IMPERIAL,Pump
1215,11:10:39 10-21-2021,11:20:39 10-21-2021,Bottle,3.00,88,,10,Liquid,IMPERIAL,Pump
1214,07:51:16 10-21-2021,08:10:16 10-21-2021,Bottle,1.00,29,,19,Liquid,IMPERIAL,Pump
1210,06:24:28 10-21-2021,06:40:23 10-21-2021,Left Breast,,,,15,Breast Milk,,
1209,05:08:35 10-21-2021,05:17:22 10-21-2021,Right Breast,,,,8,Breast Milk,,
1208,02:46:00 10-21-2021,03:03:25 10-21-2021,Left Breast,,,,17,Breast Milk,,
1207,00:13:34 10-21-2021,00:51:34 10-21-2021,Right Breast,,,,38,Breast Milk,,
1206,22:40:14 10-20-2021,22:55:14 10-20-2021,Left Breast,,,,15,Breast Milk,,
1205,20:03:57 10-20-2021,20:27:31 10-20-2021,Bottle,2.00,59,,23,Liquid,IMPERIAL,Pump
1204,20:00:32 10-20-2021,20:03:16 10-20-2021,Left Breast,,,,2,Breast Milk,,
1203,19:21:41 10-20-2021,19:42:07 10-20-2021,Left Breast,,,,20,Breast Milk,,
1202,18:29:41 10-20-2021,18:36:25 10-20-2021,Right Breast,,,,6,Breast Milk,,
1201,17:11:31 10-20-2021,17:21:31 10-20-2021,Left Breast,,,,10,Breast Milk,,
1200,16:40:32 10-20-2021,17:11:57 10-20-2021,Right Breast,,,,31,Breast Milk,,
1199,14:20:02 10-20-2021,14:50:02 10-20-2021,Bottle,3.00,88,,30,Liquid,IMPERIAL,Pump
1198,10:47:36 10-20-2021,11:07:36 10-20-2021,Bottle,3.00,88,,20,Liquid,IMPERIAL,Pump
1197,08:20:08 10-20-2021,08:30:08 10-20-2021,Bottle,1.50,44,,10,Liquid,IMPERIAL,Pump
1196,06:13:34 10-20-2021,06:24:16 10-20-2021,Right Breast,,,,10,Breast Milk,,
1195,04:41:38 10-20-2021,04:50:33 10-20-2021,Left Breast,,,,8,Breast Milk,,
1192,00:26:06 10-20-2021,00:42:38 10-20-2021,Right Breast,,,,16,Breast Milk,,
1191,20:47:36 10-19-2021,21:03:04 10-19-2021,Right Breast,,,,15,Breast Milk,,
1190,17:58:24 10-19-2021,18:09:03 10-19-2021,Right Breast,,,,10,Breast Milk,,
1187,17:43:11 10-19-2021,17:53:26 10-19-2021,Left Breast,,,,10,Breast Milk,,
1189,15:15:17 10-19-2021,15:45:17 10-19-2021,Bottle,3.00,88,,30,Liquid,IMPERIAL,Pump
1188,13:00:52 10-19-2021,13:45:52 10-19-2021,Bottle,3.00,88,,45,Liquid,IMPERIAL,Pump
1186,11:40:48 10-19-2021,11:45:48 10-19-2021,Bottle,1.00,29,,5,Liquid,IMPERIAL,Pump
1185,11:10:23 10-19-2021,11:15:23 10-19-2021,Bottle,2.00,59,,5,Liquid,IMPERIAL,Pump
1184,08:54:00 10-19-2021,09:00:00 10-19-2021,Bottle,2.00,59,,6,Liquid,IMPERIAL,Pump
1183,07:30:45 10-19-2021,07:40:45 10-19-2021,Bottle,2.00,59,,10,Liquid,IMPERIAL,Pump
1182,06:02:40 10-19-2021,06:22:49 10-19-2021,Left Breast,,,,20,Breast Milk,,
1181,05:05:50 10-19-2021,05:16:57 10-19-2021,Right Breast,,,,11,Breast Milk,,
1180,01:51:24 10-19-2021,02:00:24 10-19-2021,Left Breast,,,,9,Breast Milk,,
1179,21:18:07 10-18-2021,21:26:06 10-18-2021,Right Breast,,,,7,Breast Milk,,
1178,19:56:26 10-18-2021,20:08:36 10-18-2021,Left Breast,,,,12,Breast Milk,,
1177,18:55:28 10-18-2021,19:01:23 10-18-2021,Right Breast,,,,5,Breast Milk,,
1176,17:34:18 10-18-2021,17:43:02 10-18-2021,Left Breast,,,,8,Breast Milk,,
1175,13:13:04 10-18-2021,13:18:49 10-18-2021,Right Breast,,,,5,Breast Milk,,
1174,10:56:29 10-18-2021,11:15:06 10-18-2021,Left Breast,,,,18,Breast Milk,,
1173,09:50:11 10-18-2021,10:00:21 10-18-2021,Left Breast,,,,10,Breast Milk,,
1171,09:06:46 10-18-2021,09:12:46 10-18-2021,Right Breast,,,,6,Breast Milk,,
1170,08:25:58 10-18-2021,08:30:49 10-18-2021,Left Breast,,,,4,Breast Milk,,
1169,07:37:16 10-18-2021,07:38:42 10-18-2021,Left Breast,,,,1,Breast Milk,,
1168,06:15:50 10-18-2021,06:25:50 10-18-2021,Right Breast,,,,10,Breast Milk,,
1167,02:56:19 10-18-2021,03:14:20 10-18-2021,Left Breast,,,,18,Breast Milk,,
1166,22:30:01 10-17-2021,23:11:01 10-17-2021,Right Breast,,,,41,Breast Milk,,
1164,21:31:38 10-17-2021,21:40:38 10-17-2021,Bottle,2.00,59,,9,Liquid,IMPERIAL,Pump
1163,20:00:35 10-17-2021,20:14:23 10-17-2021,Left Breast,,,,13,Breast Milk,,
1165,18:40:47 10-17-2021,18:50:47 10-17-2021,Right Breast,,,,10,Breast Milk,,
1162,16:33:34 10-17-2021,16:54:59 10-17-2021,Left Breast,,,,21,Breast Milk,,
1161,16:20:23 10-17-2021,16:33:25 10-17-2021,Right Breast,,,,13,Breast Milk,,
1160,12:01:32 10-17-2021,12:08:30 10-17-2021,Bottle,2.00,59,,6,Liquid,IMPERIAL,Pump
1159,10:11:43 10-17-2021,10:15:13 10-17-2021,Left Breast,,,,3,Breast Milk,,
1158,10:05:12 10-17-2021,10:11:38 10-17-2021,Right Breast,,,,6,Breast Milk,,
1157,08:44:10 10-17-2021,08:53:10 10-17-2021,Right Breast,,,,9,Breast Milk,,
1155,06:45:44 10-17-2021,07:17:44 10-17-2021,Left Breast,,,,32,Breast Milk,,
1154,04:03:52 10-17-2021,04:14:17 10-17-2021,Left Breast,,,,10,Breast Milk,,
1153,01:45:42 10-17-2021,02:08:29 10-17-2021,Right Breast,,,,22,Breast Milk,,
1152,22:16:22 10-16-2021,22:53:40 10-16-2021,Left Breast,,,,37,Breast Milk,,
1151,21:55:51 10-16-2021,22:08:29 10-16-2021,Right Breast,,,,12,Breast Milk,,
1150,20:44:04 10-16-2021,21:13:46 10-16-2021,Left Breast,,,,29,Breast Milk,,
1149,20:20:58 10-16-2021,20:44:03 10-16-2021,Right Breast,,,,23,Breast Milk,,
1148,19:22:55 10-16-2021,19:36:38 10-16-2021,Right Breast,,,,13,Breast Milk,,
1147,18:25:07 10-16-2021,18:30:58 10-16-2021,Left Breast,,,,5,Breast Milk,,
1146,14:35:47 10-16-2021,14:57:21 10-16-2021,Right Breast,,,,21,Breast Milk,,
1145,13:05:04 10-16-2021,13:21:01 10-16-2021,Right Breast,,,,15,Breast Milk,,
1144,12:45:52 10-16-2021,12:52:56 10-16-2021,Left Breast,,,,7,Breast Milk,,
1143,11:57:56 10-16-2021,12:12:11 10-16-2021,Right Breast,,,,14,Breast Milk,,
1142,10:05:40 10-16-2021,10:08:51 10-16-2021,Right Breast,,,,3,Breast Milk,,
1141,08:29:44 10-16-2021,08:42:46 10-16-2021,Left Breast,,,,13,Breast Milk,,
1140,07:41:37 10-16-2021,07:50:37 10-16-2021,Right Breast,,,,9,Breast Milk,,
1139,03:59:25 10-16-2021,04:04:10 10-16-2021,Left Breast,,,,4,Breast Milk,,
1138,00:54:30 10-16-2021,01:02:31 10-16-2021,Right Breast,,,,8,Breast Milk,,
1137,00:36:57 10-16-2021,00:45:57 10-16-2021,Left Breast,,,,9,Breast Milk,,
1136,20:50:09 10-15-2021,20:54:27 10-15-2021,Right Breast,,,,4,Breast Milk,,
1135,20:22:17 10-15-2021,20:26:33 10-15-2021,Right Breast,,,,4,Breast Milk,,
1134,19:14:40 10-15-2021,19:18:40 10-15-2021,Left Breast,,,,4,Breast Milk,,
1133,18:50:29 10-15-2021,18:52:11 10-15-2021,Right Breast,,,,1,Breast Milk,,
1132,15:43:57 10-15-2021,16:19:22 10-15-2021,Left Breast,,,,35,Breast Milk,,
1131,14:39:41 10-15-2021,15:03:50 10-15-2021,Right Breast,,,,24,Breast Milk,,
1129,11:46:57 10-15-2021,11:52:45 10-15-2021,Right Breast,,,,5,Breast Milk,,
1128,10:52:53 10-15-2021,10:54:14 10-15-2021,Left Breast,,,,1,Breast Milk,,
1127,10:30:39 10-15-2021,10:40:43 10-15-2021,Left Breast,,,,10,Breast Milk,,
1126,09:48:36 10-15-2021,09:57:37 10-15-2021,Right Breast,,,,9,Breast Milk,,
1124,07:48:02 10-15-2021,08:00:42 10-15-2021,Left Breast,,,,12,Breast Milk,,
1122,07:33:11 10-15-2021,10:16:04 10-15-2021,Left Breast,,,,162,Breast Milk,,
1123,07:29:31 10-15-2021,07:47:55 10-15-2021,Right Breast,,,,18,Breast Milk,,
1121,05:38:04 10-15-2021,05:47:04 10-15-2021,Left Breast,,,,9,Breast Milk,,
1120,02:47:50 10-15-2021,03:05:32 10-15-2021,Left Breast,,,,17,Breast Milk,,
1119,01:15:25 10-15-2021,01:30:25 10-15-2021,Right Breast,,,,15,Breast Milk,,
1118,22:25:27 10-14-2021,22:40:38 10-14-2021,Right Breast,,,,15,Breast Milk,,
1117,18:45:18 10-14-2021,18:53:10 10-14-2021,Left Breast,,,,7,Breast Milk,,
1116,14:20:30 10-14-2021,14:50:25 10-14-2021,Bottle,2.25,66,,29,Liquid,IMPERIAL,Pump
1115,11:36:56 10-14-2021,11:47:58 10-14-2021,Right Breast,,,,11,Breast Milk,,
1114,10:54:39 10-14-2021,10:57:10 10-14-2021,Left Breast,,,,2,Breast Milk,,
1113,09:42:47 10-14-2021,09:53:36 10-14-2021,Right Breast,,,,10,Breast Milk,,
1112,08:26:30 10-14-2021,09:05:39 10-14-2021,Left Breast,,,,39,Breast Milk,,
1111,07:15:45 10-14-2021,07:30:45 10-14-2021,Right Breast,,,,15,Breast Milk,,
1110,03:06:19 10-14-2021,03:12:07 10-14-2021,Left Breast,,,,5,Breast Milk,,
1109,21:55:56 10-13-2021,22:11:30 10-13-2021,Left Breast,,,,15,Breast Milk,,
1108,21:05:27 10-13-2021,21:07:41 10-13-2021,Right Breast,,,,2,Breast Milk,,
1107,18:21:24 10-13-2021,18:25:24 10-13-2021,Right Breast,,,,4,Breast Milk,,
1106,17:52:49 10-13-2021,17:55:49 10-13-2021,Left Breast,,,,3,Breast Milk,,
1105,17:33:20 10-13-2021,17:51:55 10-13-2021,Right Breast,,,,18,Breast Milk,,
1104,17:19:28 10-13-2021,17:21:59 10-13-2021,Left Breast,,,,2,Breast Milk,,
1103,14:04:29 10-13-2021,14:17:18 10-13-2021,Right Breast,,,,12,Breast Milk,,
1102,12:48:01 10-13-2021,12:51:36 10-13-2021,Left Breast,,,,3,Breast Milk,,
1101,12:37:56 10-13-2021,12:45:56 10-13-2021,Right Breast,,,,7,Breast Milk,,
1100,09:36:56 10-13-2021,09:42:06 10-13-2021,Right Breast,,,,5,Breast Milk,,
1099,08:10:47 10-13-2021,08:18:20 10-13-2021,Left Breast,,,,7,Breast Milk,,
1098,05:18:27 10-13-2021,05:25:31 10-13-2021,Left Breast,,,,7,Breast Milk,,
1097,02:30:44 10-13-2021,03:02:44 10-13-2021,Right Breast,,,,32,Breast Milk,,
1096,01:40:55 10-13-2021,02:34:55 10-13-2021,Left Breast,,,,54,Breast Milk,,
1095,00:39:06 10-13-2021,00:58:55 10-13-2021,Left Breast,,,,19,Breast Milk,,
1094,22:14:44 10-12-2021,23:57:44 10-12-2021,Right Breast,,,,103,Breast Milk,,
1093,20:34:56 10-12-2021,20:47:04 10-12-2021,Right Breast,,,,12,Breast Milk,,
1092,19:20:16 10-12-2021,19:38:14 10-12-2021,Left Breast,,,,17,Breast Milk,,
1091,18:45:37 10-12-2021,19:16:11 10-12-2021,Right Breast,,,,30,Breast Milk,,
1090,17:49:16 10-12-2021,18:06:20 10-12-2021,Right Breast,,,,17,Breast Milk,,
1089,15:42:13 10-12-2021,15:57:41 10-12-2021,Left Breast,,,,15,Breast Milk,,
1088,14:14:58 10-12-2021,15:15:18 10-12-2021,Right Breast,,,,60,Breast Milk,,
1087,11:30:15 10-12-2021,11:48:12 10-12-2021,Right Breast,,,,17,Breast Milk,,
1086,10:15:31 10-12-2021,10:45:56 10-12-2021,Left Breast,,,,30,Breast Milk,,
1085,07:52:07 10-12-2021,08:09:00 10-12-2021,Right Breast,,,,16,Breast Milk,,
1083,07:41:30 10-12-2021,07:50:30 10-12-2021,Bottle,1.00,29,,9,Liquid,IMPERIAL,Pump
1084,05:41:54 10-12-2021,05:59:54 10-12-2021,Left Breast,,,,18,Breast Milk,,
1082,04:10:50 10-12-2021,04:19:50 10-12-2021,Right Breast,,,,9,Breast Milk,,
1081,01:34:00 10-12-2021,01:48:37 10-12-2021,Left Breast,,,,14,Breast Milk,,
1080,21:51:27 10-11-2021,22:00:27 10-11-2021,Bottle,1.00,29,,9,Liquid,IMPERIAL,Pump
1079,21:26:15 10-11-2021,21:37:19 10-11-2021,Right Breast,,,,11,Breast Milk,,
1078,20:13:20 10-11-2021,20:18:11 10-11-2021,Right Breast,,,,4,Breast Milk,,
1077,18:20:46 10-11-2021,18:29:46 10-11-2021,Left Breast,,,,9,Breast Milk,,
1076,16:59:08 10-11-2021,17:18:22 10-11-2021,Right Breast,,,,19,Breast Milk,,
1075,13:39:53 10-11-2021,13:52:54 10-11-2021,Right Breast,,,,13,Breast Milk,,
1074,12:10:54 10-11-2021,12:34:15 10-11-2021,Left Breast,,,,23,Breast Milk,,
1073,09:29:24 10-11-2021,09:49:37 10-11-2021,Right Breast,,,,20,Breast Milk,,
1072,07:54:31 10-11-2021,08:11:45 10-11-2021,Left Breast,,,,17,Breast Milk,,
1071,05:45:22 10-11-2021,06:00:22 10-11-2021,Right Breast,,,,15,Breast Milk,,
1070,03:26:53 10-11-2021,03:45:26 10-11-2021,Left Breast,,,,18,Breast Milk,,
1069,23:58:20 10-10-2021,00:13:06 10-11-2021,Right Breast,,,,14,Breast Milk,,
1068,21:33:46 10-10-2021,21:37:29 10-10-2021,Right Breast,,,,3,Breast Milk,,
1067,20:37:30 10-10-2021,20:52:20 10-10-2021,Left Breast,,,,14,Breast Milk,,
1066,20:21:06 10-10-2021,20:29:20 10-10-2021,Right Breast,,,,8,Breast Milk,,
1065,17:37:12 10-10-2021,17:46:12 10-10-2021,Right Breast,,,,9,Breast Milk,,
1063,17:01:37 10-10-2021,17:08:37 10-10-2021,Left Breast,,,,7,Breast Milk,,
1062,16:35:50 10-10-2021,16:49:24 10-10-2021,Right Breast,,,,13,Breast Milk,,
1061,15:15:02 10-10-2021,15:26:21 10-10-2021,Left Breast,,,,11,Breast Milk,,
1060,13:44:42 10-10-2021,13:52:52 10-10-2021,Right Breast,,,,8,Breast Milk,,
1059,12:19:33 10-10-2021,12:39:42 10-10-2021,Left Breast,,,,20,Breast Milk,,
1058,12:07:16 10-10-2021,12:15:21 10-10-2021,Left Breast,,,,8,Breast Milk,,
1057,10:05:11 10-10-2021,10:25:11 10-10-2021,Right Breast,,,,20,Breast Milk,,
1056,09:47:28 10-10-2021,09:49:22 10-10-2021,Left Breast,,,,1,Breast Milk,,
1055,07:00:36 10-10-2021,07:11:36 10-10-2021,Right Breast,,,,11,Breast Milk,,
1054,03:54:25 10-10-2021,04:07:56 10-10-2021,Left Breast,,,,13,Breast Milk,,
1053,23:13:10 10-09-2021,23:25:50 10-09-2021,Bottle,0.75,22,,12,Liquid,IMPERIAL,Pump
1051,21:37:11 10-09-2021,21:46:55 10-09-2021,Bottle,1.00,29,,9,Liquid,IMPERIAL,Pump
1052,20:55:47 10-09-2021,21:09:16 10-09-2021,Right Breast,,,,13,Breast Milk,,
1050,19:40:09 10-09-2021,19:43:56 10-09-2021,Left Breast,,,,3,Breast Milk,,
1049,18:44:44 10-09-2021,19:05:44 10-09-2021,Right Breast,,,,21,Breast Milk,,
1048,16:32:42 10-09-2021,16:56:10 10-09-2021,Bottle,2.75,81,,23,Liquid,IMPERIAL,Pump
1047,14:42:19 10-09-2021,14:46:05 10-09-2021,Left Breast,,,,3,Breast Milk,,
1046,13:25:49 10-09-2021,13:38:04 10-09-2021,Left Breast,,,,12,Breast Milk,,
1045,12:13:26 10-09-2021,12:15:28 10-09-2021,Right Breast,,,,2,Breast Milk,,
1044,11:27:43 10-09-2021,11:36:37 10-09-2021,Bottle,2.00,59,,8,Liquid,IMPERIAL,Pump
1043,08:07:09 10-09-2021,08:15:25 10-09-2021,Left Breast,,,,8,Breast Milk,,
1042,05:23:43 10-09-2021,05:35:08 10-09-2021,Right Breast,,,,11,Breast Milk,,
1041,02:14:50 10-09-2021,02:22:49 10-09-2021,Right Breast,,,,7,Breast Milk,,
1040,02:11:36 10-09-2021,02:14:49 10-09-2021,Left Breast,,,,3,Breast Milk,,
1039,22:00:28 10-08-2021,22:06:39 10-08-2021,Left Breast,,,,6,Breast Milk,,
1038,21:05:28 10-08-2021,21:13:54 10-08-2021,Right Breast,,,,8,Breast Milk,,
1037,20:49:47 10-08-2021,20:57:03 10-08-2021,Left Breast,,,,7,Breast Milk,,
1036,17:46:42 10-08-2021,17:55:42 10-08-2021,Right Breast,,,,9,Breast Milk,,
1034,15:38:39 10-08-2021,15:43:49 10-08-2021,Left Breast,,,,5,Breast Milk,,
1033,14:49:23 10-08-2021,14:56:23 10-08-2021,Right Breast,,,,7,Breast Milk,,
1032,13:49:18 10-08-2021,13:51:36 10-08-2021,Left Breast,,,,2,Breast Milk,,
1031,11:49:08 10-08-2021,12:05:17 10-08-2021,Right Breast,,,,16,Breast Milk,,
1030,10:12:02 10-08-2021,10:24:19 10-08-2021,Left Breast,,,,12,Breast Milk,,
1029,08:50:04 10-08-2021,08:59:20 10-08-2021,Right Breast,,,,9,Breast Milk,,
1028,02:29:28 10-08-2021,02:40:56 10-08-2021,Right Breast,,,,11,Breast Milk,,
1027,02:20:49 10-08-2021,02:27:24 10-08-2021,Left Breast,,,,6,Breast Milk,,
1026,11:09:44 10-07-2021,11:18:44 10-07-2021,Right Breast,,,,9,Breast Milk,,
1025,07:05:48 10-07-2021,07:20:14 10-07-2021,Right Breast,,,,14,Breast Milk,,
1024,03:37:13 10-07-2021,04:07:13 10-07-2021,Right Breast,,,,30,Breast Milk,,
1023,21:56:15 10-06-2021,22:05:15 10-06-2021,Left Breast,,,,9,Breast Milk,,
1022,21:56:08 10-06-2021,22:05:08 10-06-2021,Bottle,1.00,29,,9,Liquid,IMPERIAL,Pump
1021,18:30:51 10-06-2021,19:00:51 10-06-2021,Bottle,2.00,59,,30,Liquid,IMPERIAL,Pump
1020,17:47:31 10-06-2021,17:53:40 10-06-2021,Left Breast,,,,6,Breast Milk,,
1019,16:58:15 10-06-2021,17:10:56 10-06-2021,Right Breast,,,,12,Breast Milk,,
1018,12:24:08 10-06-2021,12:35:35 10-06-2021,Bottle,2.00,59,,11,Liquid,IMPERIAL,Pump
1017,11:00:38 10-06-2021,11:13:37 10-06-2021,Left Breast,,,,12,Breast Milk,,
1016,10:30:19 10-06-2021,10:46:16 10-06-2021,Right Breast,,,,15,Breast Milk,,
1015,08:43:29 10-06-2021,08:53:50 10-06-2021,Left Breast,,,,10,Breast Milk,,
1014,05:18:49 10-06-2021,05:33:49 10-06-2021,Right Breast,,,,15,Breast Milk,,
1013,02:31:32 10-06-2021,02:35:27 10-06-2021,Right Breast,,,,3,Breast Milk,,
1012,22:33:24 10-05-2021,22:49:49 10-05-2021,Left Breast,,,,16,Breast Milk,,
1011,21:06:10 10-05-2021,21:32:10 10-05-2021,Right Breast,,,,26,Breast Milk,,
1010,19:19:51 10-05-2021,19:51:40 10-05-2021,Bottle,2.50,73,,31,Liquid,IMPERIAL,Pump
1009,18:40:26 10-05-2021,18:50:26 10-05-2021,Bottle,2.50,73,,10,Liquid,IMPERIAL,Pump
1008,14:15:28 10-05-2021,14:24:28 10-05-2021,Right Breast,,,,9,Breast Milk,,
1007,11:54:48 10-05-2021,12:16:01 10-05-2021,Left Breast,,,,21,Breast Milk,,
1005,10:41:02 10-05-2021,10:50:02 10-05-2021,Right Breast,,,,9,Breast Milk,,
1006,09:30:07 10-05-2021,09:43:07 10-05-2021,Left Breast,,,,13,Breast Milk,,
1003,07:05:48 10-05-2021,07:14:48 10-05-2021,Right Breast,,,,9,Breast Milk,,
1004,06:08:50 10-05-2021,06:22:50 10-05-2021,Left Breast,,,,14,Breast Milk,,
1002,02:50:58 10-05-2021,02:56:43 10-05-2021,Right Breast,,,,5,Breast Milk,,
1001,01:44:48 10-05-2021,02:00:45 10-05-2021,Right Breast,,,,15,Breast Milk,,
1000,23:17:48 10-04-2021,23:21:10 10-04-2021,Left Breast,,,,3,Breast Milk,,
999,22:52:52 10-04-2021,22:58:39 10-04-2021,Right Breast,,,,5,Breast Milk,,
998,20:50:46 10-04-2021,20:55:29 10-04-2021,Left Breast,,,,4,Breast Milk,,
995,18:44:56 10-04-2021,18:53:56 10-04-2021,Right Breast,,,,9,Breast Milk,,
996,17:09:03 10-04-2021,17:23:03 10-04-2021,Left Breast,,,,14,Breast Milk,,
997,15:14:16 10-04-2021,15:22:16 10-04-2021,Right Breast,,,,8,Breast Milk,,
994,12:46:04 10-04-2021,12:55:04 10-04-2021,Left Breast,,,,9,Breast Milk,,
993,11:34:37 10-04-2021,11:42:24 10-04-2021,Right Breast,,,,7,Breast Milk,,
992,07:06:30 10-04-2021,07:17:30 10-04-2021,Left Breast,,,,11,Breast Milk,,
991,05:55:55 10-04-2021,06:11:55 10-04-2021,Right Breast,,,,16,Breast Milk,,
990,03:40:25 10-04-2021,03:55:21 10-04-2021,Right Breast,,,,14,Breast Milk,,
989,02:29:24 10-04-2021,02:38:24 10-04-2021,Left Breast,,,,8,Breast Milk,,
985,22:38:22 10-03-2021,22:47:22 10-03-2021,Right Breast,,,,9,Breast Milk,,
984,21:30:03 10-03-2021,21:40:03 10-03-2021,Left Breast,,,,10,Breast Milk,,
988,20:10:25 10-03-2021,20:18:25 10-03-2021,Bottle,2.00,59,,8,Liquid,IMPERIAL,Pump
987,19:55:48 10-03-2021,20:02:48 10-03-2021,Right Breast,,,,7,Breast Milk,,
983,16:54:31 10-03-2021,17:01:14 10-03-2021,Right Breast,,,,6,Breast Milk,,
981,15:51:06 10-03-2021,16:00:06 10-03-2021,Left Breast,,,,9,Breast Milk,,
982,14:00:09 10-03-2021,14:04:09 10-03-2021,Right Breast,,,,4,Breast Milk,,
980,13:00:54 10-03-2021,13:11:52 10-03-2021,Left Breast,,,,10,Breast Milk,,
979,11:16:50 10-03-2021,11:18:50 10-03-2021,Right Breast,,,,2,Breast Milk,,
978,09:30:12 10-03-2021,09:40:12 10-03-2021,Bottle,2.00,59,,10,Liquid,IMPERIAL,Pump
977,08:00:06 10-03-2021,08:09:06 10-03-2021,Right Breast,,,,9,Breast Milk,,
976,06:02:59 10-03-2021,06:19:56 10-03-2021,Right Breast,,,,16,Breast Milk,,
975,03:57:54 10-03-2021,04:05:49 10-03-2021,Right Breast,,,,7,Breast Milk,,
974,01:53:14 10-03-2021,01:58:31 10-03-2021,Left Breast,,,,5,Breast Milk,,
973,19:01:51 10-02-2021,19:10:51 10-02-2021,Right Breast,,,,9,Breast Milk,,
972,17:54:53 10-02-2021,18:03:16 10-02-2021,Right Breast,,,,8,Breast Milk,,
971,16:49:31 10-02-2021,16:55:28 10-02-2021,Left Breast,,,,5,Breast Milk,,
970,15:43:44 10-02-2021,16:00:25 10-02-2021,Right Breast,,,,16,Breast Milk,,
969,15:20:46 10-02-2021,15:29:46 10-02-2021,Left Breast,,,,9,Breast Milk,,
