pokedex_no,pokedex_link,img_link2,name,variant,type,type2,gen
122,/wiki/Mr._Mime_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/ec/122Mr._Mime.png/70px-122Mr._Mime.png,Mr. Mime,,Psychic,Fairy,1
NA,/wiki/Mr._Mime_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d1/122Mr._Mime-Galar.png/70px-122Mr._Mime-Galar.png,Mr. Mime,Galarian Form,Ice,Psychic,1
123,/wiki/Scyther_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/ba/123Scyther.png/70px-123Scyther.png,Scyther,,Bug,Flying,1
124,/wiki/Jynx_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7c/124Jynx.png/70px-124Jynx.png,Jynx,,Ice,Psychic,1
125,/wiki/Electabuzz_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/de/125Electabuzz.png/70px-125Electabuzz.png,Electabuzz,,Electric,Electric,1
126,/wiki/Magmar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8c/126Magmar.png/70px-126Magmar.png,Magmar,,Fire,Fire,1
127,/wiki/Pinsir_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/127Pinsir.png/70px-127Pinsir.png,Pinsir,,Bug,Bug,1
128,/wiki/Tauros_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b8/128Tauros.png/70px-128Tauros.png,Tauros,,Normal,Normal,1
NA,/wiki/Tauros_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/95/128Tauros-Paldea_Combat.png/70px-128Tauros-Paldea_Combat.png,Tauros,Paldean Form(Combat Breed),Fighting,Fighting,1
NA,/wiki/Tauros_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b0/128Tauros-Paldea_Blaze.png/70px-128Tauros-Paldea_Blaze.png,Tauros,Paldean Form(Blaze Breed),Fighting,Fire,1
NA,/wiki/Tauros_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/66/128Tauros-Paldea_Aqua.png/70px-128Tauros-Paldea_Aqua.png,Tauros,Paldean Form(Aqua Breed),Fighting,Water,1
129,/wiki/Magikarp_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/02/129Magikarp.png/70px-129Magikarp.png,Magikarp,,Water,Water,1
130,/wiki/Gyarados_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/41/130Gyarados.png/70px-130Gyarados.png,Gyarados,,Water,Flying,1
131,/wiki/Lapras_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ab/131Lapras.png/70px-131Lapras.png,Lapras,,Water,Ice,1
132,/wiki/Ditto_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/36/132Ditto.png/70px-132Ditto.png,Ditto,,Normal,Normal,1
133,/wiki/Eevee_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e2/133Eevee.png/70px-133Eevee.png,Eevee,,Normal,Normal,1
134,/wiki/Vaporeon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fd/134Vaporeon.png/70px-134Vaporeon.png,Vaporeon,,Water,Water,1
135,/wiki/Jolteon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bb/135Jolteon.png/70px-135Jolteon.png,Jolteon,,Electric,Electric,1
136,/wiki/Flareon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/dd/136Flareon.png/70px-136Flareon.png,Flareon,,Fire,Fire,1
137,/wiki/Porygon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6b/137Porygon.png/70px-137Porygon.png,Porygon,,Normal,Normal,1
138,/wiki/Omanyte_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/79/138Omanyte.png/70px-138Omanyte.png,Omanyte,,Rock,Water,1
139,/wiki/Omastar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/43/139Omastar.png/70px-139Omastar.png,Omastar,,Rock,Water,1
140,/wiki/Kabuto_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f9/140Kabuto.png/70px-140Kabuto.png,Kabuto,,Rock,Water,1
141,/wiki/Kabutops_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/29/141Kabutops.png/70px-141Kabutops.png,Kabutops,,Rock,Water,1
142,/wiki/Aerodactyl_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e8/142Aerodactyl.png/70px-142Aerodactyl.png,Aerodactyl,,Rock,Flying,1
143,/wiki/Snorlax_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fb/143Snorlax.png/70px-143Snorlax.png,Snorlax,,Normal,Normal,1
144,/wiki/Articuno_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4e/144Articuno.png/70px-144Articuno.png,Articuno,,Ice,Flying,1
NA,/wiki/Articuno_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/df/144Articuno-Galar.png/70px-144Articuno-Galar.png,Articuno,Galarian Form,Psychic,Flying,1
145,/wiki/Zapdos_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e3/145Zapdos.png/70px-145Zapdos.png,Zapdos,,Electric,Flying,1
NA,/wiki/Zapdos_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/13/145Zapdos-Galar.png/70px-145Zapdos-Galar.png,Zapdos,Galarian Form,Fighting,Flying,1
146,/wiki/Moltres_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1b/146Moltres.png/70px-146Moltres.png,Moltres,,Fire,Flying,1
NA,/wiki/Moltres_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f7/146Moltres-Galar.png/70px-146Moltres-Galar.png,Moltres,Galarian Form,Dark,Flying,1
147,/wiki/Dratini_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cc/147Dratini.png/70px-147Dratini.png,Dratini,,Dragon,Dragon,1
148,/wiki/Dragonair_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/93/148Dragonair.png/70px-148Dragonair.png,Dragonair,,Dragon,Dragon,1
149,/wiki/Dragonite_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8b/149Dragonite.png/70px-149Dragonite.png,Dragonite,,Dragon,Flying,1
150,/wiki/Mewtwo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/78/150Mewtwo.png/70px-150Mewtwo.png,Mewtwo,,Psychic,Psychic,1
151,/wiki/Mew_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b1/151Mew.png/70px-151Mew.png,Mew,,Psychic,Psychic,1
152,/wiki/Chikorita_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bf/152Chikorita.png/70px-152Chikorita.png,Chikorita,,Grass,Grass,2
153,/wiki/Bayleef_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/ca/153Bayleef.png/70px-153Bayleef.png,Bayleef,,Grass,Grass,2
154,/wiki/Meganium_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d1/154Meganium.png/70px-154Meganium.png,Meganium,,Grass,Grass,2
155,/wiki/Cyndaquil_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9b/155Cyndaquil.png/70px-155Cyndaquil.png,Cyndaquil,,Fire,Fire,2
156,/wiki/Quilava_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b6/156Quilava.png/70px-156Quilava.png,Quilava,,Fire,Fire,2
157,/wiki/Typhlosion_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/47/157Typhlosion.png/70px-157Typhlosion.png,Typhlosion,,Fire,Fire,2
NA,/wiki/Typhlosion_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b7/157Typhlosion-Hisui.png/70px-157Typhlosion-Hisui.png,Typhlosion,Hisuian Form,Fire,Ghost,2
158,/wiki/Totodile_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/df/158Totodile.png/70px-158Totodile.png,Totodile,,Water,Water,2
159,/wiki/Croconaw_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a5/159Croconaw.png/70px-159Croconaw.png,Croconaw,,Water,Water,2
160,/wiki/Feraligatr_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d5/160Feraligatr.png/70px-160Feraligatr.png,Feraligatr,,Water,Water,2
161,/wiki/Sentret_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c5/161Sentret.png/70px-161Sentret.png,Sentret,,Normal,Normal,2
162,/wiki/Furret_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4b/162Furret.png/70px-162Furret.png,Furret,,Normal,Normal,2
163,/wiki/Hoothoot_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/53/163Hoothoot.png/70px-163Hoothoot.png,Hoothoot,,Normal,Flying,2
164,/wiki/Noctowl_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fa/164Noctowl.png/70px-164Noctowl.png,Noctowl,,Normal,Flying,2
165,/wiki/Ledyba_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bb/165Ledyba.png/70px-165Ledyba.png,Ledyba,,Bug,Flying,2
166,/wiki/Ledian_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5b/166Ledian.png/70px-166Ledian.png,Ledian,,Bug,Flying,2
167,/wiki/Spinarak_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/75/167Spinarak.png/70px-167Spinarak.png,Spinarak,,Bug,Poison,2
168,/wiki/Ariados_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/76/168Ariados.png/70px-168Ariados.png,Ariados,,Bug,Poison,2
169,/wiki/Crobat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/17/169Crobat.png/70px-169Crobat.png,Crobat,,Poison,Flying,2
170,/wiki/Chinchou_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d9/170Chinchou.png/70px-170Chinchou.png,Chinchou,,Water,Electric,2
171,/wiki/Lanturn_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9b/171Lanturn.png/70px-171Lanturn.png,Lanturn,,Water,Electric,2
172,/wiki/Pichu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b9/172Pichu.png/70px-172Pichu.png,Pichu,,Electric,Electric,2
173,/wiki/Cleffa_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e4/173Cleffa.png/70px-173Cleffa.png,Cleffa,,Fairy,Fairy,2
174,/wiki/Igglybuff_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4d/174Igglybuff.png/70px-174Igglybuff.png,Igglybuff,,Normal,Fairy,2
175,/wiki/Togepi_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6b/175Togepi.png/70px-175Togepi.png,Togepi,,Fairy,Fairy,2
176,/wiki/Togetic_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/11/176Togetic.png/70px-176Togetic.png,Togetic,,Fairy,Flying,2
177,/wiki/Natu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5b/177Natu.png/70px-177Natu.png,Natu,,Psychic,Flying,2
178,/wiki/Xatu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f4/178Xatu.png/70px-178Xatu.png,Xatu,,Psychic,Flying,2
179,/wiki/Mareep_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6b/179Mareep.png/70px-179Mareep.png,Mareep,,Electric,Electric,2
180,/wiki/Flaaffy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6f/180Flaaffy.png/70px-180Flaaffy.png,Flaaffy,,Electric,Electric,2
181,/wiki/Ampharos_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/47/181Ampharos.png/70px-181Ampharos.png,Ampharos,,Electric,Electric,2
182,/wiki/Bellossom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cd/182Bellossom.png/70px-182Bellossom.png,Bellossom,,Grass,Grass,2
183,/wiki/Marill_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/42/183Marill.png/70px-183Marill.png,Marill,,Water,Fairy,2
184,/wiki/Azumarill_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a5/184Azumarill.png/70px-184Azumarill.png,Azumarill,,Water,Fairy,2
185,/wiki/Sudowoodo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1e/185Sudowoodo.png/70px-185Sudowoodo.png,Sudowoodo,,Rock,Rock,2
186,/wiki/Politoed_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a4/186Politoed.png/70px-186Politoed.png,Politoed,,Water,Water,2
187,/wiki/Hoppip_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f8/187Hoppip.png/70px-187Hoppip.png,Hoppip,,Grass,Flying,2
188,/wiki/Skiploom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4f/188Skiploom.png/70px-188Skiploom.png,Skiploom,,Grass,Flying,2
189,/wiki/Jumpluff_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5e/189Jumpluff.png/70px-189Jumpluff.png,Jumpluff,,Grass,Flying,2
190,/wiki/Aipom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/42/190Aipom.png/70px-190Aipom.png,Aipom,,Normal,Normal,2
191,/wiki/Sunkern_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/95/191Sunkern.png/70px-191Sunkern.png,Sunkern,,Grass,Grass,2
192,/wiki/Sunflora_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/98/192Sunflora.png/70px-192Sunflora.png,Sunflora,,Grass,Grass,2
193,/wiki/Yanma_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/dd/193Yanma.png/70px-193Yanma.png,Yanma,,Bug,Flying,2
194,/wiki/Wooper_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/78/194Wooper.png/70px-194Wooper.png,Wooper,,Water,Ground,2
NA,/wiki/Wooper_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/15/194Wooper-Paldea.png/70px-194Wooper-Paldea.png,Wooper,Paldean Form,Poison,Ground,2
195,/wiki/Quagsire_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a4/195Quagsire.png/70px-195Quagsire.png,Quagsire,,Water,Ground,2
196,/wiki/Espeon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a7/196Espeon.png/70px-196Espeon.png,Espeon,,Psychic,Psychic,2
197,/wiki/Umbreon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3d/197Umbreon.png/70px-197Umbreon.png,Umbreon,,Dark,Dark,2
198,/wiki/Murkrow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/33/198Murkrow.png/70px-198Murkrow.png,Murkrow,,Dark,Flying,2
199,/wiki/Slowking_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e1/199Slowking.png/70px-199Slowking.png,Slowking,,Water,Psychic,2
NA,/wiki/Slowking_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/ca/199Slowking-Galar.png/70px-199Slowking-Galar.png,Slowking,Galarian Form,Poison,Psychic,2
200,/wiki/Misdreavus_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/be/200Misdreavus.png/70px-200Misdreavus.png,Misdreavus,,Ghost,Ghost,2
201,/wiki/Unown_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/77/201Unown.png/70px-201Unown.png,Unown,One form,Psychic,Psychic,2
202,/wiki/Wobbuffet_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/17/202Wobbuffet.png/70px-202Wobbuffet.png,Wobbuffet,,Psychic,Psychic,2
203,/wiki/Girafarig_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/11/203Girafarig.png/70px-203Girafarig.png,Girafarig,,Normal,Psychic,2
204,/wiki/Pineco_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0b/204Pineco.png/70px-204Pineco.png,Pineco,,Bug,Bug,2
205,/wiki/Forretress_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/68/205Forretress.png/70px-205Forretress.png,Forretress,,Bug,Steel,2
206,/wiki/Dunsparce_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/20/206Dunsparce.png/70px-206Dunsparce.png,Dunsparce,,Normal,Normal,2
207,/wiki/Gligar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/04/207Gligar.png/70px-207Gligar.png,Gligar,,Ground,Flying,2
208,/wiki/Steelix_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/ba/208Steelix.png/70px-208Steelix.png,Steelix,,Steel,Ground,2
209,/wiki/Snubbull_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7f/209Snubbull.png/70px-209Snubbull.png,Snubbull,,Fairy,Fairy,2
210,/wiki/Granbull_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b1/210Granbull.png/70px-210Granbull.png,Granbull,,Fairy,Fairy,2
211,/wiki/Qwilfish_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/21/211Qwilfish.png/70px-211Qwilfish.png,Qwilfish,,Water,Poison,2
NA,/wiki/Qwilfish_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/12/211Qwilfish-Hisui.png/70px-211Qwilfish-Hisui.png,Qwilfish,Hisuian Form,Dark,Poison,2
212,/wiki/Scizor_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/55/212Scizor.png/70px-212Scizor.png,Scizor,,Bug,Steel,2
213,/wiki/Shuckle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c7/213Shuckle.png/70px-213Shuckle.png,Shuckle,,Bug,Rock,2
214,/wiki/Heracross_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/47/214Heracross.png/70px-214Heracross.png,Heracross,,Bug,Fighting,2
215,/wiki/Sneasel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/215Sneasel.png/70px-215Sneasel.png,Sneasel,,Dark,Ice,2
NA,/wiki/Sneasel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/00/215Sneasel-Hisui.png/70px-215Sneasel-Hisui.png,Sneasel,Hisuian Form,Fighting,Poison,2
216,/wiki/Teddiursa_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e9/216Teddiursa.png/70px-216Teddiursa.png,Teddiursa,,Normal,Normal,2
217,/wiki/Ursaring_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e9/217Ursaring.png/70px-217Ursaring.png,Ursaring,,Normal,Normal,2
218,/wiki/Slugma_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/68/218Slugma.png/70px-218Slugma.png,Slugma,,Fire,Fire,2
219,/wiki/Magcargo_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/65/219Magcargo.png/70px-219Magcargo.png,Magcargo,,Fire,Rock,2
220,/wiki/Swinub_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b5/220Swinub.png/70px-220Swinub.png,Swinub,,Ice,Ground,2
221,/wiki/Piloswine_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/49/221Piloswine.png/70px-221Piloswine.png,Piloswine,,Ice,Ground,2
222,/wiki/Corsola_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fc/222Corsola.png/70px-222Corsola.png,Corsola,,Water,Rock,2
NA,/wiki/Corsola_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/ce/222Corsola-Galar.png/70px-222Corsola-Galar.png,Corsola,Galarian Form,Ghost,Ghost,2
223,/wiki/Remoraid_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/95/223Remoraid.png/70px-223Remoraid.png,Remoraid,,Water,Water,2
224,/wiki/Octillery_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cb/224Octillery.png/70px-224Octillery.png,Octillery,,Water,Water,2
225,/wiki/Delibird_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3f/225Delibird.png/70px-225Delibird.png,Delibird,,Ice,Flying,2
226,/wiki/Mantine_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c5/226Mantine.png/70px-226Mantine.png,Mantine,,Water,Flying,2
227,/wiki/Skarmory_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/35/227Skarmory.png/70px-227Skarmory.png,Skarmory,,Steel,Flying,2
228,/wiki/Houndour_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/53/228Houndour.png/70px-228Houndour.png,Houndour,,Dark,Fire,2
229,/wiki/Houndoom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/51/229Houndoom.png/70px-229Houndoom.png,Houndoom,,Dark,Fire,2
230,/wiki/Kingdra_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3c/230Kingdra.png/70px-230Kingdra.png,Kingdra,,Water,Dragon,2
231,/wiki/Phanpy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d3/231Phanpy.png/70px-231Phanpy.png,Phanpy,,Ground,Ground,2
232,/wiki/Donphan_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/53/232Donphan.png/70px-232Donphan.png,Donphan,,Ground,Ground,2
233,/wiki/Porygon2_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/99/233Porygon2.png/70px-233Porygon2.png,Porygon2,,Normal,Normal,2
234,/wiki/Stantler_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/50/234Stantler.png/70px-234Stantler.png,Stantler,,Normal,Normal,2
235,/wiki/Smeargle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/92/235Smeargle.png/70px-235Smeargle.png,Smeargle,,Normal,Normal,2
236,/wiki/Tyrogue_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c7/236Tyrogue.png/70px-236Tyrogue.png,Tyrogue,,Fighting,Fighting,2
237,/wiki/Hitmontop_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/94/237Hitmontop.png/70px-237Hitmontop.png,Hitmontop,,Fighting,Fighting,2
238,/wiki/Smoochum_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0e/238Smoochum.png/70px-238Smoochum.png,Smoochum,,Ice,Psychic,2
239,/wiki/Elekid_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5d/239Elekid.png/70px-239Elekid.png,Elekid,,Electric,Electric,2
240,/wiki/Magby_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cb/240Magby.png/70px-240Magby.png,Magby,,Fire,Fire,2
241,/wiki/Miltank_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/13/241Miltank.png/70px-241Miltank.png,Miltank,,Normal,Normal,2
242,/wiki/Blissey_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/56/242Blissey.png/70px-242Blissey.png,Blissey,,Normal,Normal,2
243,/wiki/Raikou_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c1/243Raikou.png/70px-243Raikou.png,Raikou,,Electric,Electric,2
244,/wiki/Entei_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f9/244Entei.png/70px-244Entei.png,Entei,,Fire,Fire,2
245,/wiki/Suicune_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/da/245Suicune.png/70px-245Suicune.png,Suicune,,Water,Water,2
246,/wiki/Larvitar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/70/246Larvitar.png/70px-246Larvitar.png,Larvitar,,Rock,Ground,2
247,/wiki/Pupitar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a1/247Pupitar.png/70px-247Pupitar.png,Pupitar,,Rock,Ground,2
248,/wiki/Tyranitar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/82/248Tyranitar.png/70px-248Tyranitar.png,Tyranitar,,Rock,Dark,2
249,/wiki/Lugia_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/44/249Lugia.png/70px-249Lugia.png,Lugia,,Psychic,Flying,2
250,/wiki/Ho-Oh_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/67/250Ho-Oh.png/70px-250Ho-Oh.png,Ho-Oh,,Fire,Flying,2
251,/wiki/Celebi_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e7/251Celebi.png/70px-251Celebi.png,Celebi,,Psychic,Grass,2
252,/wiki/Treecko_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2c/252Treecko.png/70px-252Treecko.png,Treecko,,Grass,Grass,3
253,/wiki/Grovyle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/ea/253Grovyle.png/70px-253Grovyle.png,Grovyle,,Grass,Grass,3
254,/wiki/Sceptile_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3e/254Sceptile.png/70px-254Sceptile.png,Sceptile,,Grass,Grass,3
255,/wiki/Torchic_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/91/255Torchic.png/70px-255Torchic.png,Torchic,,Fire,Fire,3
256,/wiki/Combusken_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/29/256Combusken.png/70px-256Combusken.png,Combusken,,Fire,Fighting,3
257,/wiki/Blaziken_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/90/257Blaziken.png/70px-257Blaziken.png,Blaziken,,Fire,Fighting,3
258,/wiki/Mudkip_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/60/258Mudkip.png/70px-258Mudkip.png,Mudkip,,Water,Water,3
259,/wiki/Marshtomp_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/27/259Marshtomp.png/70px-259Marshtomp.png,Marshtomp,,Water,Ground,3
260,/wiki/Swampert_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b6/260Swampert.png/70px-260Swampert.png,Swampert,,Water,Ground,3
261,/wiki/Poochyena_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fc/261Poochyena.png/70px-261Poochyena.png,Poochyena,,Dark,Dark,3
