id,Start,End,Type,Quantity (oz),Quantity (ml or g)
167,09:25:26 08-15-2021,09:30:26 08-15-2021,Breast,NA,NA
166,09:10:16 08-15-2021,09:20:16 08-15-2021,Breast,NA,NA
165,08:52:38 08-15-2021,08:57:37 08-15-2021,Breast,NA,NA
164,08:39:54 08-15-2021,08:48:17 08-15-2021,Breast,NA,NA
163,08:28:24 08-15-2021,08:32:45 08-15-2021,Breast,NA,NA
162,05:10:51 08-15-2021,05:16:27 08-15-2021,Breast,NA,NA
161,04:53:13 08-15-2021,05:00:47 08-15-2021,Breast,NA,NA
160,04:37:59 08-15-2021,04:52:56 08-15-2021,Breast,NA,NA
159,01:40:49 08-15-2021,01:54:08 08-15-2021,Breast,NA,NA
158,01:13:33 08-15-2021,01:30:04 08-15-2021,Breast,NA,NA
169,22:44:24 08-14-2021,22:47:15 08-14-2021,Bottle,1,29
168,22:35:20 08-14-2021,22:37:29 08-14-2021,Bottle,1,29
157,21:59:50 08-14-2021,22:06:56 08-14-2021,Bottle,1.5,44
156,21:37:16 08-14-2021,21:48:25 08-14-2021,Breast,NA,NA
155,21:16:14 08-14-2021,21:28:09 08-14-2021,Breast,NA,NA
153,19:25:08 08-14-2021,19:30:27 08-14-2021,Breast,NA,NA
152,18:22:59 08-14-2021,18:27:53 08-14-2021,Breast,NA,NA
154,17:30:55 08-14-2021,17:35:55 08-14-2021,Bottle,1,29
151,15:47:03 08-14-2021,15:56:45 08-14-2021,Breast,NA,NA
150,15:18:35 08-14-2021,15:29:31 08-14-2021,Breast,NA,NA
149,15:02:20 08-14-2021,15:10:00 08-14-2021,Breast,NA,NA
148,13:11:16 08-14-2021,13:17:53 08-14-2021,Breast,NA,NA
147,12:58:58 08-14-2021,13:07:58 08-14-2021,Breast,NA,NA
146,11:59:49 08-14-2021,12:10:34 08-14-2021,Breast,NA,NA
145,11:25:43 08-14-2021,11:34:49 08-14-2021,Breast,NA,NA
144,11:07:33 08-14-2021,11:10:35 08-14-2021,Breast,NA,NA
143,10:47:48 08-14-2021,10:52:06 08-14-2021,Breast,NA,NA
142,09:02:08 08-14-2021,09:16:11 08-14-2021,Breast,NA,NA
141,07:56:04 08-14-2021,08:05:04 08-14-2021,Breast,NA,NA
140,07:48:31 08-14-2021,07:54:35 08-14-2021,Breast,NA,NA
139,06:01:57 08-14-2021,06:08:52 08-14-2021,Breast,NA,NA
138,05:25:59 08-14-2021,05:38:05 08-14-2021,Breast,NA,NA
137,02:18:25 08-14-2021,02:21:59 08-14-2021,Breast,NA,NA
136,01:53:53 08-14-2021,01:58:31 08-14-2021,Breast,NA,NA
135,01:39:33 08-14-2021,01:44:54 08-14-2021,Breast,NA,NA
134,21:55:42 08-13-2021,22:00:51 08-13-2021,Breast,NA,NA
133,21:45:08 08-13-2021,21:52:32 08-13-2021,Breast,NA,NA
132,20:56:30 08-13-2021,21:00:19 08-13-2021,Breast,NA,NA
131,20:19:40 08-13-2021,20:24:20 08-13-2021,Breast,NA,NA
130,20:00:59 08-13-2021,20:19:39 08-13-2021,Breast,NA,NA
129,17:06:25 08-13-2021,17:11:51 08-13-2021,Breast,NA,NA
128,16:55:49 08-13-2021,17:02:58 08-13-2021,Breast,NA,NA
127,16:19:19 08-13-2021,16:26:02 08-13-2021,Breast,NA,NA
126,16:01:11 08-13-2021,16:19:17 08-13-2021,Breast,NA,NA
125,13:50:42 08-13-2021,14:05:50 08-13-2021,Breast,NA,NA
124,13:11:44 08-13-2021,13:25:30 08-13-2021,Breast,NA,NA
123,12:47:27 08-13-2021,12:59:31 08-13-2021,Breast,NA,NA
122,10:40:41 08-13-2021,10:50:41 08-13-2021,Breast,NA,NA
121,09:55:27 08-13-2021,10:04:27 08-13-2021,Bottle,1,29
120,09:55:18 08-13-2021,10:00:18 08-13-2021,Breast,NA,NA
119,09:35:11 08-13-2021,09:43:38 08-13-2021,Breast,NA,NA
118,07:07:15 08-13-2021,07:13:34 08-13-2021,Breast,NA,NA
117,04:29:03 08-13-2021,04:36:02 08-13-2021,Breast,NA,NA
116,04:08:33 08-13-2021,04:23:39 08-13-2021,Breast,NA,NA
115,00:05:46 08-13-2021,00:15:46 08-13-2021,Bottle,1,29
114,23:13:07 08-12-2021,23:26:05 08-12-2021,Breast,NA,NA
113,22:45:56 08-12-2021,23:02:57 08-12-2021,Breast,NA,NA
112,19:44:54 08-12-2021,19:55:14 08-12-2021,Bottle,1,29
111,19:06:02 08-12-2021,19:16:09 08-12-2021,Breast,NA,NA
110,18:42:14 08-12-2021,18:55:31 08-12-2021,Breast,NA,NA
109,15:50:44 08-12-2021,16:00:45 08-12-2021,Breast,NA,NA
108,15:09:30 08-12-2021,15:19:42 08-12-2021,Breast,NA,NA
107,14:23:44 08-12-2021,14:30:51 08-12-2021,Breast,NA,NA
106,14:06:35 08-12-2021,14:10:57 08-12-2021,Breast,NA,NA
105,13:37:11 08-12-2021,13:56:59 08-12-2021,Breast,NA,NA
104,11:40:50 08-12-2021,11:55:50 08-12-2021,Breast,NA,NA
103,10:43:30 08-12-2021,10:57:33 08-12-2021,Breast,NA,NA
102,07:45:16 08-12-2021,07:51:56 08-12-2021,Breast,NA,NA
101,04:36:23 08-12-2021,04:49:21 08-12-2021,Breast,NA,NA
100,02:46:00 08-12-2021,03:00:39 08-12-2021,Breast,NA,NA
99,02:25:49 08-12-2021,02:32:29 08-12-2021,Breast,NA,NA
98,02:04:02 08-12-2021,02:09:05 08-12-2021,Breast,NA,NA
97,23:50:39 08-11-2021,23:58:26 08-11-2021,Breast,NA,NA
95,23:20:22 08-11-2021,23:29:22 08-11-2021,Bottle,1.51,44
96,23:10:10 08-11-2021,23:15:10 08-11-2021,Breast,NA,NA
94,21:54:41 08-11-2021,22:03:36 08-11-2021,Breast,NA,NA
93,21:37:35 08-11-2021,21:47:15 08-11-2021,Breast,NA,NA
92,19:50:56 08-11-2021,20:00:41 08-11-2021,Bottle,0.5,14
91,19:34:00 08-11-2021,19:41:51 08-11-2021,Breast,NA,NA
90,19:08:39 08-11-2021,19:23:45 08-11-2021,Breast,NA,NA
89,18:49:24 08-11-2021,18:59:10 08-11-2021,Breast,NA,NA
88,16:16:47 08-11-2021,16:20:19 08-11-2021,Breast,NA,NA
87,16:02:19 08-11-2021,16:11:19 08-11-2021,Breast,NA,NA
86,13:26:16 08-11-2021,13:45:16 08-11-2021,Bottle,1,29
85,13:12:04 08-11-2021,13:25:29 08-11-2021,Breast,NA,NA
84,12:54:51 08-11-2021,13:03:50 08-11-2021,Breast,NA,NA
83,10:36:25 08-11-2021,10:41:19 08-11-2021,Breast,NA,NA
82,08:55:16 08-11-2021,09:15:16 08-11-2021,Bottle,1,29
81,08:47:18 08-11-2021,08:51:43 08-11-2021,Breast,NA,NA
80,08:27:02 08-11-2021,08:36:58 08-11-2021,Breast,NA,NA
79,07:41:13 08-11-2021,07:53:02 08-11-2021,Breast,NA,NA
78,07:31:27 08-11-2021,07:36:07 08-11-2021,Breast,NA,NA
77,05:00:45 08-11-2021,05:12:47 08-11-2021,Bottle,1,29
76,04:55:16 08-11-2021,05:00:41 08-11-2021,Breast,NA,NA
75,04:40:18 08-11-2021,04:53:29 08-11-2021,Breast,NA,NA
74,04:32:38 08-11-2021,04:37:52 08-11-2021,Breast,NA,NA
73,01:19:17 08-11-2021,01:25:16 08-11-2021,Breast,NA,NA
72,01:06:28 08-11-2021,01:12:05 08-11-2021,Breast,NA,NA
71,00:22:23 08-11-2021,00:32:31 08-11-2021,Breast,NA,NA
70,00:05:42 08-11-2021,00:15:47 08-11-2021,Breast,NA,NA
69,21:12:14 08-10-2021,21:38:21 08-10-2021,Breast,NA,NA
68,20:57:00 08-10-2021,21:05:23 08-10-2021,Breast,NA,NA
67,19:27:19 08-10-2021,19:48:08 08-10-2021,Breast,NA,NA
66,16:33:43 08-10-2021,16:53:47 08-10-2021,Breast,NA,NA
65,15:06:26 08-10-2021,15:15:28 08-10-2021,Breast,NA,NA
64,13:55:09 08-10-2021,14:00:09 08-10-2021,Breast,NA,NA
63,13:35:52 08-10-2021,13:45:52 08-10-2021,Breast,NA,NA
62,12:57:35 08-10-2021,13:04:20 08-10-2021,Breast,NA,NA
61,11:35:28 08-10-2021,11:52:09 08-10-2021,Breast,NA,NA
60,11:20:04 08-10-2021,11:29:14 08-10-2021,Breast,NA,NA
59,10:05:48 08-10-2021,10:14:48 08-10-2021,Bottle,1,29
58,09:35:05 08-10-2021,10:24:28 08-10-2021,Breast,NA,NA
57,09:19:26 08-10-2021,09:30:04 08-10-2021,Breast,NA,NA
56,07:44:56 08-10-2021,07:55:00 08-10-2021,Breast,NA,NA
55,07:21:23 08-10-2021,07:26:51 08-10-2021,Breast,NA,NA
54,07:08:28 08-10-2021,07:18:41 08-10-2021,Breast,NA,NA
53,05:06:51 08-10-2021,05:14:04 08-10-2021,Bottle,0.25,7
52,04:06:31 08-10-2021,04:17:13 08-10-2021,Breast,NA,NA
51,03:40:12 08-10-2021,03:52:13 08-10-2021,Breast,NA,NA
48,23:15:10 08-09-2021,23:30:10 08-09-2021,Bottle,1,29
49,23:00:44 08-09-2021,23:07:44 08-09-2021,Breast,NA,NA
50,22:52:18 08-09-2021,23:00:18 08-09-2021,Breast,NA,NA
47,20:25:53 08-09-2021,20:32:53 08-09-2021,Breast,NA,NA
46,20:09:19 08-09-2021,20:35:27 08-09-2021,Breast,NA,NA
45,17:33:58 08-09-2021,17:44:07 08-09-2021,Bottle,1,29
44,17:05:40 08-09-2021,17:10:40 08-09-2021,Breast,NA,NA
43,16:55:41 08-09-2021,17:05:58 08-09-2021,Breast,NA,NA
42,12:30:08 08-09-2021,13:45:24 08-09-2021,Bottle,1.5,44
41,12:02:22 08-09-2021,12:08:28 08-09-2021,Breast,NA,NA
40,11:47:37 08-09-2021,11:56:34 08-09-2021,Breast,NA,NA
39,10:15:45 08-09-2021,10:39:02 08-09-2021,Breast,NA,NA
38,09:14:14 08-09-2021,09:29:05 08-09-2021,Breast,NA,NA
37,08:43:38 08-09-2021,08:52:59 08-09-2021,Breast,NA,NA
36,08:04:02 08-09-2021,08:19:09 08-09-2021,Breast,NA,NA
35,05:55:18 08-09-2021,06:05:18 08-09-2021,Breast,NA,NA
34,05:34:41 08-09-2021,07:25:13 08-09-2021,Breast,NA,NA
32,04:26:55 08-09-2021,04:32:55 08-09-2021,Breast,NA,NA
33,01:10:26 08-09-2021,02:00:26 08-09-2021,Breast,NA,NA
31,00:33:59 08-09-2021,00:45:47 08-09-2021,Breast,NA,NA
30,00:11:07 08-09-2021,00:21:22 08-09-2021,Breast,NA,NA
29,23:03:20 08-08-2021,23:41:59 08-08-2021,Breast,NA,NA
28,22:10:06 08-08-2021,22:21:17 08-08-2021,Breast,NA,NA
27,21:38:31 08-08-2021,21:49:39 08-08-2021,Breast,NA,NA
26,19:31:07 08-08-2021,19:31:11 08-08-2021,Bottle,0.03,1
25,18:51:52 08-08-2021,19:03:28 08-08-2021,Breast,NA,NA
24,18:36:16 08-08-2021,18:45:11 08-08-2021,Breast,NA,NA
23,17:53:11 08-08-2021,18:01:38 08-08-2021,Breast,NA,NA
22,15:10:04 08-08-2021,15:20:06 08-08-2021,Breast,NA,NA
21,14:35:14 08-08-2021,14:41:19 08-08-2021,Breast,NA,NA
20,13:38:45 08-08-2021,13:46:46 08-08-2021,Breast,NA,NA
19,13:30:14 08-08-2021,13:35:49 08-08-2021,Breast,NA,NA
18,13:26:34 08-08-2021,13:30:07 08-08-2021,Breast,NA,NA
17,11:50:41 08-08-2021,11:57:06 08-08-2021,Breast,NA,NA
16,10:13:28 08-08-2021,10:19:28 08-08-2021,Breast,NA,NA
15,09:43:20 08-08-2021,09:52:52 08-08-2021,Breast,NA,NA
14,09:05:49 08-08-2021,09:12:58 08-08-2021,Breast,NA,NA
13,08:34:31 08-08-2021,08:46:41 08-08-2021,Breast,NA,NA
12,03:20:38 08-08-2021,03:28:09 08-08-2021,Breast,NA,NA
11,02:33:17 08-08-2021,02:38:23 08-08-2021,Breast,NA,NA
10,02:19:09 08-08-2021,02:23:30 08-08-2021,Breast,NA,NA
9,02:08:51 08-08-2021,02:19:08 08-08-2021,Breast,NA,NA
8,00:59:20 08-08-2021,01:06:02 08-08-2021,Breast,NA,NA
7,00:21:48 08-08-2021,00:30:40 08-08-2021,Breast,NA,NA
6,23:58:44 08-07-2021,00:10:45 08-08-2021,Breast,NA,NA
5,20:47:45 08-07-2021,20:59:59 08-07-2021,Breast,NA,NA
4,18:01:35 08-07-2021,18:10:10 08-07-2021,Breast,NA,NA
3,17:35:01 08-07-2021,17:45:25 08-07-2021,Breast,NA,NA
2,17:14:05 08-07-2021,17:21:09 08-07-2021,Breast,NA,NA
1,16:04:01 08-07-2021,16:14:02 08-07-2021,Breast,NA,NA
